con_storm_start,con_event_discharge,con_suspended_sediment_load_pounds,con_chloride_load_pounds,con_no2_no3_load_pounds,con_ammonium_n_load_pounds,con_tkn_load_pounds,con_orthophosphate_load_pounds,con_total_phosphorus_unfiltered_load_pounds,con_total_nitrogen_computed_load_pounds,con_organic_nitrogen_computed_load_pounds,trt_storm_start,trt_event_discharge,trt_suspended_sediment_load_pounds,trt_chloride_load_pounds,trt_no2_no3_load_pounds,trt_ammonium_n_load_pounds,trt_tkn_load_pounds,trt_orthophosphate_load_pounds,trt_total_phosphorus_unfiltered_load_pounds,trt_total_nitrogen_computed_load_pounds,trt_organic_nitrogen_computed_load_pounds,PairID,Exclude,Period,Period_txt,Frozen,Frozen_txt,Estimate,Estimate_txt
1/10/2013 19:53,,37199.7,,,,,6.188,14.402,201.264,,1/10/2013 19:55,,159.38,,,,,0.567,0.908,44.5635756,,1,,0,calibration,1,frozen,0,
1/29/2013 2:49,,1021.46,,,,,2.782,4.233,20.675,,1/29/2013 0:00,,122.4,,,,,0.67,0.907,8.187480953,,2,,0,calibration,1,frozen,0,
2/10/2013 13:26,,29.24,,,,,0.255,0.37,2.32,,2/10/2013 18:00,,0.52,,,,,0.1,0.128,1.266075886,,3,,0,calibration,1,frozen,0,
3/26/2013 11:45,,226.49,,,,,0.218,0.499,1.714,,3/26/2013 12:15,,0.05,,,,,0.01,0.012,0.121080022,,4,,0,calibration,1,frozen,1,estimate
3/27/2013 8:00,,2241.08,,,,,2.157,4.935,16.963,,3/27/2013 10:00,,92.91,,,,,0.357,0.58,5.158306692,,5,,0,calibration,1,frozen,0,
3/28/2013 7:43,,225066.16,,,,,2.166,121.026,188.196,,3/28/2013 9:29,,1442.5,,,,,0.951,2.311,14.30121841,,6,,0,calibration,1,frozen,0,
3/30/2013 11:02,,1082.82,,,,,4.306,5.825,21.656,,3/30/2013 9:28,,3131.15,,,,,0.99,4.354,23.33875685,,7,,0,calibration,1,frozen,0,
3/31/2013 23:10,,288.1,,,,,2.583,3.115,12.16,,4/1/2013 0:26,,297.85,,,,,0.635,1.085,8.350249656,,8,,0,calibration,1,frozen,1,estimate
4/6/2013 10:15,,10.62,,,,,0.276,0.33,2.043,,4/6/2013 9:12,,48.31,,,,,0.193,0.371,1.522184298,,9,,0,calibration,1,frozen,0,
4/7/2013 6:00,,6.38,,,,,0.166,0.198,1.227,,4/7/2013 8:12,,36.02,,,,,0.077,0.131,1.009773298,,10,,0,calibration,1,frozen,1,estimate
